Date,Open,High,Low,Volume
2017-02-17,3.88,3.92,3.85,2015.24750369
2017-02-16,3.84,3.91,3.81,5261.16407842
2017-02-15,3.77,3.83,3.76,3844.94051118
2017-02-14,3.8,3.83,3.74,3942.7858101
2017-02-13,3.84,3.85,3.77,1832.8473036
2017-02-12,3.83,3.88,3.82,6108.18023048
2017-02-11,3.77,3.89,3.7,4404.80087656
2017-02-10,3.97,3.99,3.62,22706.10216558
2017-02-09,3.98,4.06,3.91,12258.99693194
2017-02-08,3.96,4.02,3.94,15502.57363791
2017-02-07,3.97,4.02,3.94,1658.07322563
2017-02-06,4.03,4.03,3.91,1445.03371702
2017-02-05,4.05,4.05,3.94,3032.66367558
2017-02-04,4.09,4.12,3.91,3821.36943223
2017-02-03,4.07,4.11,3.97,4410.21642779
2017-02-02,4.08,4.15,3.95,4314.56214508
2017-02-01,4.09,4.19,4.03,8596.57969486
2017-01-31,3.88,4.09,3.83,6028.98498707
2017-01-30,3.89,3.9,3.84,460.633031
2017-01-29,3.89,3.9,3.85,739.60105816
2017-01-28,3.85,3.96,3.79,4270.05107462
2017-01-27,3.69,3.98,3.68,5427.00316018
2017-01-26,3.72,3.81,3.65,3286.03867809
2017-01-25,3.82,3.89,3.73,3713.1153747
2017-01-24,3.88,3.92,3.83,1251.1231995
2017-01-23,3.92,3.97,3.85,1766.44234152
2017-01-22,3.93,3.93,3.89,620.69202082
2017-01-21,3.9,3.95,3.86,892.64803343
2017-01-20,3.88,3.96,3.83,3078.50019142
2017-01-19,3.95,3.95,3.81,2325.9725537
2017-01-18,3.87,4.16,3.87,1796.89130591
2017-01-17,3.97,3.98,3.88,277.48073865
